model_name,clustering_algo,distance_metric,min_samples,threshold,total_tp,total_fn,total_fp,precision,recall,f1
Facenet,DBSCAN,cosine,2,0.2,728,308,5,0.9931787175989086,0.7027027027027027,0.8230638778971172
Facenet,DBSCAN,cosine,3,0.22,804,232,7,0.9913686806411838,0.7760617760617761,0.8706009745533297
Facenet,DBSCAN,cosine,4,0.24,859,177,36052,0.0232721952805396,0.8291505791505791,0.0452736711729517
Facenet,DBSCAN,cosine,2,0.16,579,457,24904,0.0227210297060785,0.5588803088803089,0.0436668049323126
Facenet,DBSCAN,cosine,2,0.17,610,426,1,0.9983633387888708,0.5888030888030888,0.7407407407407408
Facenet,DBSCAN,cosine,2,0.18,648,388,2,0.9969230769230768,0.6254826254826255,0.7686832740213523
Facenet,DBSCAN,cosine,2,0.19,699,337,2,0.9971469329529244,0.6747104247104247,0.8048359240069085
Facenet,DBSCAN,cosine,2,0.1925,700,336,2,0.9971509971509972,0.6756756756756757,0.805523590333717
Facenet,DBSCAN,cosine,2,0.195,710,326,2,0.9971910112359552,0.6853281853281853,0.8123569794050344
Facenet,DBSCAN,cosine,2,0.1975,721,315,2,0.9972337482710928,0.6959459459459459,0.8197839681637293
Facenet,DBSCAN,cosine,2,0.21,769,267,6,0.9922580645161292,0.7422779922779923,0.8492545554942023
Facenet,DBSCAN,cosine,2,0.22,804,232,7,0.9913686806411838,0.7760617760617761,0.8706009745533297
Facenet,DBSCAN,cosine,2,0.23,833,203,4759,0.1489628040057224,0.8040540540540541,0.2513578756789378
Facenet,DBSCAN,cosine,2,0.24,863,173,10325,0.0771362173757597,0.833011583011583,0.1411976439790575
Facenet,DBSCAN,cosine,2,0.25,876,160,23040,0.036628198695434,0.8455598455598455,0.0702148124398845
Facenet,DBSCAN,cosine,2,0.26,893,143,32274,0.0269243525190701,0.861969111969112,0.0522176417273338
Facenet,DBSCAN,cosine,2,0.27,914,122,36693,0.0243039859600606,0.8822393822393823,0.0473048158786843
Facenet,DBSCAN,cosine,2,0.28,943,93,86266,0.0108131041520943,0.9102316602316602,0.0213723157119383
Facenet,DBSCAN,cosine,2,0.29,971,65,130429,0.0073896499238964,0.9372586872586872,0.0146636866108912
Facenet,DBSCAN,cosine,2,0.3,986,50,296694,0.0033122816447191,0.9517374517374516,0.006601588130532
Facenet,DBSCAN,cosine,3,0.16,653,383,283567,0.0022975160087256,0.6303088803088803,0.0045783436632358
Facenet,DBSCAN,cosine,3,0.17,657,379,167774,0.003900707114486,0.6341698841698842,0.0077537219635681
Facenet,DBSCAN,cosine,3,0.18,686,350,138009,0.004946104762248,0.6621621621621622,0.009818866250152
Facenet,DBSCAN,cosine,3,0.19,722,314,81390,0.0087928682774746,0.696911196911197,0.0173666233703757
Facenet,DBSCAN,cosine,3,0.1925,723,313,80964,0.0088508575415916,0.6978764478764479,0.0174800236935314
Facenet,DBSCAN,cosine,3,0.195,724,312,53770,0.0132858663339083,0.6988416988416989,0.0260759949576805
Facenet,DBSCAN,cosine,3,0.1975,735,301,53588,0.0135301805864919,0.7094594594594594,0.0265539478675554
Facenet,DBSCAN,cosine,3,0.2,742,294,53381,0.0137095135155109,0.7162162162162162,0.026904041044979
Facenet,DBSCAN,cosine,3,0.21,775,261,26213,0.0287164665777382,0.7480694980694981,0.0553097345132743
Facenet,DBSCAN,cosine,3,0.23,833,203,4759,0.1489628040057224,0.8040540540540541,0.2513578756789378
Facenet,DBSCAN,cosine,3,0.24,863,173,10325,0.0771362173757597,0.833011583011583,0.1411976439790575
Facenet,DBSCAN,cosine,3,0.25,876,160,23040,0.036628198695434,0.8455598455598455,0.0702148124398845
Facenet,DBSCAN,cosine,3,0.26,893,143,32274,0.0269243525190701,0.861969111969112,0.0522176417273338
Facenet,DBSCAN,cosine,3,0.27,914,122,36693,0.0243039859600606,0.8822393822393823,0.0473048158786843
Facenet,DBSCAN,cosine,3,0.28,943,93,86266,0.0108131041520943,0.9102316602316602,0.0213723157119383
