model_name,clustering_algo,distance_metric,min_samples,threshold,total_tp,total_fn,total_fp,precision,recall,f1
Facenet512,DBSCAN,cosine,2,0.18,719,317,0,1.0,0.694015444015444,0.8193732193732194
Facenet512,DBSCAN,cosine,2,0.19,763,273,0,1.0,0.7364864864864865,0.8482490272373542
Facenet512,DBSCAN,cosine,2,0.191,768,268,0,1.0,0.7413127413127413,0.8514412416851441
Facenet512,DBSCAN,cosine,2,0.192,774,262,0,1.0,0.747104247104247,0.8552486187845304
Facenet512,DBSCAN,cosine,2,0.1925,775,261,0,1.0,0.7480694980694981,0.8558807288790723
Facenet512,DBSCAN,cosine,2,0.195,781,255,3,0.9961734693877552,0.7538610038610039,0.8582417582417582
Facenet512,DBSCAN,cosine,2,0.1975,790,246,4,0.9949622166246852,0.7625482625482626,0.8633879781420765
Facenet512,DBSCAN,cosine,2,0.2,805,231,5,0.9938271604938272,0.777027027027027,0.8721560130010834
Facenet512,DBSCAN,cosine,2,0.21,862,174,12,0.9862700228832952,0.832046332046332,0.9026178010471204
Facenet512,DBSCAN,cosine,2,0.22,896,140,18,0.9803063457330417,0.8648648648648649,0.918974358974359
Facenet512,DBSCAN,cosine,2,0.23,939,97,31,0.968041237113402,0.9063706563706564,0.9361914257228314
Facenet512,DBSCAN,cosine,2,0.235,945,91,48,0.9516616314199396,0.9121621621621622,0.9314933464760964
Facenet512,DBSCAN,cosine,2,0.24,962,74,63,0.9385365853658536,0.9285714285714286,0.9335274138767587
Facenet512,DBSCAN,cosine,2,0.245,981,55,6804,0.1260115606936416,0.946911196911197,0.2224237614782904
Facenet512,DBSCAN,cosine,2,0.25,993,43,15572,0.0599456685783278,0.9584942084942084,0.1128344980398841
Facenet512,DBSCAN,cosine,3,0.245,981,55,6804,0.1260115606936416,0.946911196911197,0.2224237614782904
Facenet512,DBSCAN,cosine,3,0.25,993,43,15572,0.0599456685783278,0.9584942084942084,0.1128344980398841
